Ta_med;Ta_max;Ta_min;UR_med;UR_max;UR_min;RG;V;P;ET0
27.48;34.15;22.38;61.04;83.4;32.14;12.96;1.779225533;0;4.080963836
26.61;33.82;19.6;56.65;88.5;27.04;15.4224;1.479925172;0;4.039092639
25.83;34.41;17.62;59.47;89.2;29.88;15.25824;0.937500825;0;3.439270231
26.92;35.73;17.02;51.74;84.4;24.71;15.47424;0.918161417;0;3.558727391
26.9;34.42;20.72;54.34;82.8;26.24;15.13728;1.254298746;0;3.862418461
25.82;33.23;19.6;56.97;88.5;28.1;12.0096;1.399804768;0;3.553129437
25.59;34.02;17.75;55.24;87.8;23.72;15.39648;1.009332911;0;3.543632028
26.06;32.83;18.81;51.62;80.4;22.73;15.36192;1.795802169;0;4.380267474
26.1;32.63;19.27;49.75;80.8;23.06;15.4656;2.51043934;0;5.066575206
25.01;31.84;19.67;55.68;79.4;26.91;14.256;3.635808699;0;5.691478302
23.72;29.52;18.01;64.12;84.5;40.23;10.35072;2.913804135;0;3.979788097
24.42;29.91;19.6;62.83;82.6;41.48;10.83456;3.727901118;0;4.519106409
23.42;27.27;21.05;67.78;78.7;53.42;4.69584;2.848418517;0;2.912891693
23.88;30.38;18.47;66.47;91.5;35.32;11.32704;2.362170545;0.508;3.840446312
23.57;31.37;15.3;69.78;94.5;39.5;13.0896;2.539908914;0;4.083653118
23.76;30.78;14.77;58.69;92.8;29.03;12.64896;2.451500192;0;4.274783796
24.29;31.17;17.42;60.04;86.1;28.03;14.32512;3.434126301;0;5.290892361
23.46;28.59;18.93;68.98;90.7;48.38;6.33312;3.587920641;0;3.434036644
24.48;31.7;18.14;58.89;87.1;31.15;13.34016;2.608978228;0;4.536188265
26.34;30.78;21.78;52.2;72.5;34.26;16.95168;3.300592294;0;5.389260097
24.14;30.91;19;63.89;91;33.27;11.0592;3.693826923;0;4.827382799
22.63;30.18;16.62;70.6;93;35.92;9.13248;3.715008179;0.508;4.468592777
22.52;27.73;15.76;63.87;93.4;42.21;9.5472;2.857627759;0.508;3.486140879
